Bangla,English
আমি,I
না,Not
তুমি,You
আমার,Me
কি,What
এটা,It
আর,More
তোমার,Yours
আছে,There is
সে,He
এই,This
আমরা,We
করে,By
হবে,Will
জন্য,For
আমাদের,Ours
করতে,To do
একটা,One
আমাকে,Me
ঠিক,Right
আপনি,You
তো,There
যে,That
তার,Herself
থেকে,From
কিছু,Something
সাথে,With
কিন্তু,But
এখানে,Here
তোমাকে,You
এখন,Now
কোন,Any
কথা,Talk
মনে,Fondly
কী,Key
যদি,If
এবং,And
হয়,Is
আপনার,Yours
নিয়ে,With
ছিল,Was
তাকে,Her
তারা,They
নেই,No
হয়ে,So
তাহলে,In
অনেক,Many
কেন,Why
করা,Do
হ্যাঁ,Yes
করো,Do
তাই,So
সব,All
এক,One
এর,Of
হচ্ছে,Beyond
যাও,In
কাজ,Work
হয়েছে,Have been
কে,Who
কাছে,Near
শুধু,Only
একটি,A
স্যার,Sir
দাও,Give
তাদের,Their
ভালো,Good
যা,Which
একজন,One
ভাল,Good
জানি,Know
যেতে,Go
দিয়ে,With
খুব,Very
কোথায়,Where
করবে,Willing
যাবে,Go
চাই,Desire
পারে,Unable
শেষ,End
করার,Do
ধন্যবাদ,Thank you
যখন,While
বলতে,To say
কেউ,None
করি,Doer
সময়,Time
তুই,You
গেছে,Gone
বাবা,Father
ওকে,OK
মত,Opinion
সেটা,That
হতে,To
চলে,Leaving
ওহ,Oh
নয়,Nine
হ্যা,Yes
একটু,A little
পারি,Pert
দেখতে,See
সবাই,Everyone
আগে,Before
দেখা,See
করছি,Doing
তিনি,He
বের,Out
বলে,Say
ঐ,3
কর,Tackle
আবার,Again
দিতে,Pay
নাম,Name
যায়,Go
ওর,Her
পারবে,Able
নাকি,Or
কিভাবে,How
মধ্যে,In
তোমরা,You
ফিরে,Back
আচ্ছা,Well
সাহায্য,Help
আপনাকে,You
মানুষ,Man
তা,So
মা,Mother
এ,This
করেছে,Did
দিকে,Toward
দরকার,Need
সেই,That
আসলে,In fact
শুরু,Start
ওটা,That
দুঃখিত,Sorry
দিন,Day
চলো,Go
মানে,Mean
কিন্ত,But
তোর,You
তোমাদের,You
করছে,Doing
বলছি,Guys
বিশ্বাস,Trust
বন্ধ,Closed
করেছি,Do
এমন,Such
অবশ্যই,In course
নিজের,Own
কারণ,Cause
বড়,Great
করবো,I will
বেশি,More
বছর,Year
উপর,Over
যাচ্ছে,Go
আসো,Come
চেষ্টা,Attempt
তারপর,After
হল,Hall
হয়,Is
হেই,Hey
এসব,These are
দেখো,See
কিছুই,Nothing
কোনো,Any
এটাই,It
আছি,There
টাকা,Money
যাচ্ছি,Going
জানো,Know
বুঝতে,Understanding
আজ,Today
ছিলো,Was
বলো,Say
মতো,Like
ধরে,On
কখনো,Ever
খারাপ,Bad
কেমন,How
প্লিজ,Plz
মারা,Kill
পছন্দ,Choice
সেখানে,There
চাও,Want
নাও,No
সমস্যা,Problem
দেখে,Seeing
নি,No
পর,After
থাকে,Stay
এখনো,Yet
সুন্দর,Beautiful
তখন,Then
ভুল,Wrong
ভাই,Brother
ওখানে,There
পর্যন্ত,Up to
করব,Do
নতুন,New
পরে,After
থাকতে,In place
ওরা,Them
যাই,Go
অন্য,Another
হলো,Is
খুঁজে,Find
ভয়,Fear
